[INFO] config loaded: ../config.yaml
[INFO] mode: RECEIVER_ONLY (no XHand)
[INFO] UDP bound 0.0.0.0:9000
[INFO] waiting for first packet...
[INFO] first packet from 192.168.3.24
[recv  12] L: l0=0.0 l1=0.0 l2=-1.4 l3=-3.7 l4=-5.3 l5=-6.7 l6=-5.4 l7=-0.5 l8=-1.1 l9=-1.4 l10=0.0 l11=0.1 l12=-8.1 l13=-10.1 l14=-5.4 l15=0.0 l16=-14.5 l17=-18.1 l18=-14.3 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  13] L: l0=0.0 l1=0.0 l2=-1.5 l3=-3.9 l4=-5.6 l5=-7.0 l6=-5.7 l7=-0.4 l8=-1.1 l9=-1.4 l10=0.0 l11=0.0 l12=-8.1 l13=-10.2 l14=-5.5 l15=0.0 l16=-14.6 l17=-18.2 l18=-14.4 l19=0.0 l20=5.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.0
[recv  14] L: l0=0.0 l1=0.0 l2=-1.7 l3=-4.3 l4=-5.9 l5=-7.3 l6=-6.0 l7=-0.3 l8=-1.2 l9=-1.5 l10=0.0 l11=0.0 l12=-8.3 l13=-10.4 l14=-5.5 l15=0.0 l16=-14.7 l17=-18.4 l18=-14.5 l19=0.0 l20=5.9 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.6
[recv  15] L: l0=0.0 l1=0.0 l2=-1.9 l3=-4.8 l4=-6.2 l5=-7.7 l6=-6.3 l7=-0.2 l8=-1.3 l9=-1.6 l10=0.0 l11=0.0 l12=-8.4 l13=-10.5 l14=-5.6 l15=0.0 l16=-14.9 l17=-18.6 l18=-14.7 l19=0.0 l20=6.1 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=62.5
[recv  16] L: l0=0.0 l1=0.0 l2=-2.1 l3=-5.4 l4=-6.6 l5=-8.2 l6=-6.7 l7=-0.2 l8=-1.4 l9=-1.8 l10=0.0 l11=0.0 l12=-8.5 l13=-10.7 l14=-5.7 l15=0.0 l16=-15.0 l17=-18.8 l18=-14.8 l19=0.0 l20=6.2 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.0
[recv  17] L: l0=0.0 l1=0.0 l2=-2.4 l3=-6.2 l4=-6.9 l5=-8.7 l6=-7.1 l7=-0.1 l8=-1.5 l9=-1.9 l10=0.0 l11=0.0 l12=-8.7 l13=-10.9 l14=-5.8 l15=0.0 l16=-15.2 l17=-19.0 l18=-15.0 l19=0.0 l20=6.4 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.4
[recv  18] L: l0=0.0 l1=0.0 l2=-2.8 l3=-7.1 l4=-7.4 l5=-9.2 l6=-7.5 l7=-0.1 l8=-1.6 l9=-2.0 l10=0.0 l11=0.0 l12=-8.9 l13=-11.1 l14=-5.9 l15=0.0 l16=-15.4 l17=-19.3 l18=-15.2 l19=0.0 l20=6.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.3
[recv  19] L: l0=0.0 l1=0.0 l2=-3.2 l3=-8.1 l4=-7.8 l5=-9.8 l6=-8.0 l7=0.0 l8=-1.7 l9=-2.2 l10=0.0 l11=0.0 l12=-9.1 l13=-11.3 l14=-6.0 l15=0.0 l16=-15.7 l17=-19.6 l18=-15.5 l19=0.0 l20=6.9 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.5
[recv  20] L: l0=0.0 l1=0.0 l2=-3.3 l3=-8.4 l4=-8.0 l5=-10.1 l6=-8.2 l7=0.0 l8=-1.7 l9=-2.2 l10=0.0 l11=0.0 l12=-9.1 l13=-11.4 l14=-6.1 l15=0.0 l16=-15.9 l17=-19.8 l18=-15.6 l19=0.0 l20=7.0 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.5
[recv  21] L: l0=0.0 l1=0.0 l2=-3.5 l3=-8.9 l4=-8.3 l5=-10.3 l6=-8.4 l7=0.0 l8=-1.8 l9=-2.3 l10=0.0 l11=0.0 l12=-9.2 l13=-11.5 l14=-6.2 l15=0.0 l16=-16.0 l17=-20.0 l18=-15.8 l19=0.0 l20=7.1 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.6
[recv  22] L: l0=0.0 l1=0.0 l2=-3.8 l3=-9.6 l4=-8.7 l5=-10.9 l6=-8.9 l7=0.0 l8=-1.9 l9=-2.4 l10=0.0 l11=0.0 l12=-9.3 l13=-11.7 l14=-6.3 l15=0.0 l16=-16.4 l17=-20.4 l18=-16.1 l19=0.0 l20=7.2 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.7
[recv  23] L: l0=0.0 l1=0.0 l2=-4.0 l3=-10.2 l4=-9.1 l5=-11.4 l6=-9.3 l7=0.0 l8=-2.0 l9=-2.5 l10=-0.1 l11=0.0 l12=-9.5 l13=-11.8 l14=-6.3 l15=0.0 l16=-16.8 l17=-21.0 l18=-16.5 l19=0.0 l20=7.4 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.9
[recv  24] L: l0=0.0 l1=0.0 l2=-4.2 l3=-10.6 l4=-9.5 l5=-11.9 l6=-9.7 l7=0.0 l8=-2.1 l9=-2.7 l10=-0.1 l11=0.0 l12=-9.6 l13=-12.0 l14=-6.4 l15=0.0 l16=-17.1 l17=-21.4 l18=-16.8 l19=0.0 l20=7.5 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.1
[recv  25] L: l0=0.0 l1=0.0 l2=-4.3 l3=-10.9 l4=-9.8 l5=-12.3 l6=-10.0 l7=0.0 l8=-2.3 l9=-2.8 l10=-0.2 l11=0.0 l12=-9.7 l13=-12.1 l14=-6.4 l15=0.0 l16=-17.3 l17=-21.7 l18=-17.1 l19=0.0 l20=7.5 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.1
[recv  26] L: l0=0.0 l1=0.0 l2=-4.4 l3=-11.0 l4=-10.1 l5=-12.6 l6=-10.3 l7=0.0 l8=-2.4 l9=-2.9 l10=-0.3 l11=0.0 l12=-9.8 l13=-12.3 l14=-6.5 l15=0.0 l16=-17.5 l17=-22.0 l18=-17.3 l19=0.0 l20=7.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.4
[recv  27] L: l0=0.0 l1=0.0 l2=-4.4 l3=-11.1 l4=-10.2 l5=-12.8 l6=-10.4 l7=0.0 l8=-2.4 l9=-3.0 l10=-0.3 l11=0.0 l12=-9.8 l13=-12.3 l14=-6.5 l15=0.0 l16=-17.6 l17=-22.1 l18=-17.4 l19=0.0 l20=7.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.3
