[INFO] config loaded: ../config.yaml
[INFO] mode: RECEIVER_ONLY (no XHand)
[INFO] UDP bound 0.0.0.0:9000
[INFO] waiting for first calibrated UDP frame (timeout=10s)...
[INFO] first packet from 192.168.3.24
[recv  12] L: l0=0.0 l1=-22.2 l2=3.5 l3=8.9 l4=-13.2 l5=-16.5 l6=-10.3 l7=0.0 l8=-2.2 l9=-2.8 l10=-1.6 l11=0.0 l12=-7.6 l13=-9.5 l14=-6.8 l15=0.0 l16=-3.0 l17=-3.8 l18=-2.7 l19=0.0 l20=2.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  13] L: l0=0.0 l1=-21.9 l2=3.3 l3=8.3 l4=-13.5 l5=-16.9 l6=-10.7 l7=0.0 l8=-2.6 l9=-3.3 l10=-2.0 l11=0.0 l12=-7.8 l13=-9.8 l14=-7.0 l15=0.0 l16=-3.5 l17=-4.4 l18=-3.0 l19=0.0 l20=2.9 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=68.4
[recv  14] L: l0=0.0 l1=-21.6 l2=3.1 l3=7.9 l4=-13.8 l5=-17.2 l6=-10.9 l7=0.0 l8=-2.9 l9=-3.7 l10=-2.2 l11=0.0 l12=-8.0 l13=-10.1 l14=-7.1 l15=0.0 l16=-3.7 l17=-4.6 l18=-3.2 l19=0.0 l20=3.0 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  15] L: l0=0.0 l1=-21.5 l2=3.0 l3=7.6 l4=-13.9 l5=-17.4 l6=-11.0 l7=0.0 l8=-3.1 l9=-3.9 l10=-2.4 l11=0.0 l12=-8.1 l13=-10.2 l14=-7.2 l15=0.0 l16=-3.8 l17=-4.8 l18=-3.3 l19=0.0 l20=3.0 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=68.2
[recv  16] L: l0=0.0 l1=-21.2 l2=2.8 l3=7.1 l4=-14.2 l5=-17.8 l6=-11.3 l7=0.0 l8=-3.4 l9=-4.3 l10=-2.6 l11=0.0 l12=-8.3 l13=-10.4 l14=-7.3 l15=0.0 l16=-4.0 l17=-5.0 l18=-3.5 l19=0.0 l20=3.2 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  17] L: l0=0.0 l1=-20.9 l2=2.5 l3=6.6 l4=-14.5 l5=-18.1 l6=-11.6 l7=0.0 l8=-3.7 l9=-4.6 l10=-2.9 l11=0.0 l12=-8.4 l13=-10.6 l14=-7.5 l15=0.0 l16=-4.3 l17=-5.3 l18=-3.7 l19=0.0 l20=3.3 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.4
[recv  18] L: l0=0.0 l1=-20.6 l2=2.4 l3=6.1 l4=-14.7 l5=-18.4 l6=-11.8 l7=0.0 l8=-4.0 l9=-5.0 l10=-3.2 l11=0.0 l12=-8.6 l13=-10.7 l14=-7.6 l15=0.0 l16=-4.5 l17=-5.7 l18=-4.0 l19=0.0 l20=3.4 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.7
[recv  19] L: l0=0.0 l1=-20.4 l2=2.2 l3=5.7 l4=-15.0 l5=-18.8 l6=-12.1 l7=0.0 l8=-4.3 l9=-5.4 l10=-3.4 l11=0.0 l12=-8.7 l13=-10.9 l14=-7.7 l15=0.0 l16=-4.9 l17=-6.1 l18=-4.3 l19=0.0 l20=3.5 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.5
[recv  20] L: l0=0.0 l1=-20.2 l2=2.1 l3=5.4 l4=-15.4 l5=-19.2 l6=-12.5 l7=0.0 l8=-4.5 l9=-5.7 l10=-3.7 l11=0.0 l12=-8.8 l13=-11.1 l14=-7.8 l15=0.0 l16=-5.2 l17=-6.5 l18=-4.5 l19=0.0 l20=3.6 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=66.6
[recv  21] L: l0=0.0 l1=-20.1 l2=2.0 l3=5.1 l4=-15.7 l5=-19.6 l6=-12.8 l7=0.0 l8=-4.8 l9=-6.0 l10=-3.9 l11=0.0 l12=-9.0 l13=-11.2 l14=-7.9 l15=0.0 l16=-5.4 l17=-6.8 l18=-4.8 l19=0.0 l20=3.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.6
[recv  22] L: l0=0.0 l1=-20.1 l2=2.0 l3=5.0 l4=-15.8 l5=-19.8 l6=-12.9 l7=0.0 l8=-4.9 l9=-6.1 l10=-4.0 l11=0.0 l12=-9.0 l13=-11.3 l14=-8.0 l15=0.0 l16=-5.5 l17=-7.0 l18=-4.9 l19=0.0 l20=3.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.7
[recv  23] L: l0=0.0 l1=-19.9 l2=1.8 l3=4.7 l4=-16.0 l5=-20.1 l6=-13.1 l7=0.0 l8=-5.1 l9=-6.4 l10=-4.1 l11=0.0 l12=-9.2 l13=-11.5 l14=-8.1 l15=0.0 l16=-5.8 l17=-7.2 l18=-5.1 l19=0.0 l20=3.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.7
[recv  24] L: l0=0.0 l1=-19.7 l2=1.7 l3=4.4 l4=-16.2 l5=-20.3 l6=-13.3 l7=0.0 l8=-5.2 l9=-6.6 l10=-4.3 l11=0.0 l12=-9.4 l13=-11.8 l14=-8.3 l15=0.0 l16=-5.9 l17=-7.4 l18=-5.2 l19=0.0 l20=3.8 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.9
[recv  25] L: l0=0.0 l1=-19.5 l2=1.5 l3=4.0 l4=-16.4 l5=-20.5 l6=-13.4 l7=0.0 l8=-5.4 l9=-6.8 l10=-4.5 l11=0.0 l12=-9.6 l13=-12.0 l14=-8.4 l15=0.0 l16=-6.1 l17=-7.7 l18=-5.4 l19=0.0 l20=3.9 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.1
[recv  26] L: l0=0.0 l1=-19.2 l2=1.3 l3=3.5 l4=-16.6 l5=-20.7 l6=-13.6 l7=0.0 l8=-5.7 l9=-7.1 l10=-4.8 l11=0.0 l12=-9.9 l13=-12.4 l14=-8.6 l15=0.0 l16=-6.4 l17=-8.0 l18=-5.7 l19=0.0 l20=4.0 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.0
[recv  27] L: l0=0.0 l1=-18.8 l2=1.1 l3=3.0 l4=-16.8 l5=-21.1 l6=-13.8 l7=0.0 l8=-6.0 l9=-7.5 l10=-5.1 l11=0.0 l12=-10.3 l13=-12.9 l14=-8.9 l15=0.0 l16=-6.8 l17=-8.5 l18=-6.1 l19=0.0 l20=4.2 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.3
[recv  28] L: l0=0.0 l1=-18.4 l2=0.9 l3=2.3 l4=-17.3 l5=-21.6 l6=-14.3 l7=0.0 l8=-6.5 l9=-8.1 l10=-5.5 l11=0.0 l12=-10.8 l13=-13.5 l14=-9.3 l15=0.0 l16=-7.4 l17=-9.3 l18=-6.6 l19=0.0 l20=4.3 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=65.1
[recv  29] L: l0=0.0 l1=-17.9 l2=0.6 l3=1.6 l4=-18.0 l5=-22.5 l6=-15.0 l7=0.0 l8=-7.1 l9=-8.9 l10=-6.2 l11=0.0 l12=-11.4 l13=-14.3 l14=-9.9 l15=0.0 l16=-8.4 l17=-10.5 l18=-7.5 l19=0.0 l20=4.5 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=64.4
[recv  30] L: l0=0.0 l1=-17.4 l2=0.3 l3=0.8 l4=-19.0 l5=-23.8 l6=-16.1 l7=0.0 l8=-7.8 l9=-9.8 l10=-7.0 l11=0.0 l12=-12.3 l13=-15.4 l14=-10.6 l15=0.0 l16=-9.8 l17=-12.3 l18=-8.8 l19=0.0 l20=4.7 l21=0.0 l22=0.0 l23=-1.0 | R: r0=0.0 r1=0.0 r2=0.0 r3=0.0 r4=0.0 r5=0.0 r6=0.0 r7=0.0 r8=0.0 r9=0.0 r10=0.0 r11=0.0 r12=0.0 r13=0.0 r14=0.0 r15=0.0 r16=0.0 r17=0.0 r18=0.0 r19=0.0 r20=0.0 r21=0.0 r22=0.0 r23=0.0 | calib L=3 R=3 | fps=63.8
